Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
BANKETFADD,48.67,46.98,47.71,48.19,48.92,49.4,50.13,50.61
BANKINDIA,150.35,143.03,146.12,148.23,151.32,153.43,156.52,158.63
BANKNIFTY,48201.1,47374.93,47731.57,47966.33,48322.97,48557.73,48914.37,49149.13
BANKNIFTY1,491.92,483.94,487.05,489.49,492.6,495.04,498.15,500.59
BANSWRAS,149.35,145.35,146.75,148.05,149.45,150.75,152.15,153.45
BARBEQUE,554.4,536.33,544.17,549.28,557.12,562.23,570.07,575.18
BASF,3706.05,3544.03,3580.02,3643.03,3679.02,3742.03,3778.02,3841.03
BASILIC,417.45,389.48,397.22,407.33,415.07,425.18,432.92,443.03
BASML,49.25,43.03,44.52,46.88,48.37,50.73,52.22,54.58
BATAINDIA,1363.4,1306.67,1327.83,1345.62,1366.78,1384.57,1405.73,1423.52
BAWEJA,94.1,89.2,91.6,92.85,95.25,96.5,98.9,100.15
BAYERCROP,5525.35,5373.57,5441.78,5483.57,5551.78,5593.57,5661.78,5703.57
BBETF0432,1135.96,1131.15,1132.12,1134.04,1135.01,1136.93,1137.9,1139.82
BBL,3231.95,2836.87,2922.08,3077.02,3162.23,3317.17,3402.38,3557.32
BBNPPGOLD,71.8,71.13,71.27,71.53,71.67,71.93,72.07,72.33
BBOX,252.8,244.87,246.93,249.87,251.93,254.87,256.93,259.87
BBTC,1569.1,1489.45,1523.0,1546.05,1579.6,1602.65,1636.2,1659.25
BBTCL,261.9,251.52,256.03,258.97,263.48,266.42,270.93,273.87
BCG,14.2,13.48,13.77,13.98,14.27,14.48,14.77,14.98
BCLIND,58.85,55.75,57.15,58.0,59.4,60.25,61.65,62.5
BCONCEPTS,753.6,705.87,727.93,740.77,762.83,775.67,797.73,810.57
BDL,2018.0,1902.75,1955.8,1986.9,2039.95,2071.05,2124.1,2155.2
BEARDSELL,42.45,39.17,40.58,41.52,42.93,43.87,45.28,46.22
BECTORFOOD,1233.9,1118.33,1156.67,1195.28,1233.62,1272.23,1310.57,1349.18
BEDMUTHA,199.6,185.45,192.0,195.8,202.35,206.15,212.7,216.5
BEL,238.95,233.6,235.75,237.35,239.5,241.1,243.25,244.85
BEML,3543.65,3414.9,3473.95,3508.8,3567.85,3602.7,3661.75,3696.6
BEPL,101.3,98.48,99.77,100.53,101.82,102.58,103.87,104.63
BERGEPAINT,503.1,492.8,497.4,500.25,504.85,507.7,512.3,515.15
BETA,1306.35,1211.03,1255.52,1280.93,1325.42,1350.83,1395.32,1420.73
BEWLTD,1600.0,1459.67,1503.73,1551.87,1595.93,1644.07,1688.13,1736.27
BFINVEST,570.65,547.7,558.05,564.35,574.7,581.0,591.35,597.65
BFSI,21.71,21.25,21.46,21.58,21.79,21.91,22.12,22.24
BFUTILITIE,798.5,755.27,775.43,786.97,807.13,818.67,838.83,850.37
BGLOBAL,3.55,3.15,3.35,3.45,3.65,3.75,3.95,4.05
BGRENERGY,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
BHAGCHEM,1927.6,1875.72,1895.03,1911.32,1930.63,1946.92,1966.23,1982.52
BHAGERIA,179.85,174.05,176.05,177.95,179.95,181.85,183.85,185.75
BHAGYANGR,113.85,103.15,107.75,110.8,115.4,118.45,123.05,126.1
BHANDARI,8.05,7.48,7.72,7.88,8.12,8.28,8.52,8.68
BHARATFORG,1309.9,1282.52,1294.43,1302.17,1314.08,1321.82,1333.73,1341.47
BHARATGEAR,120.1,113.95,116.0,118.05,120.1,122.15,124.2,126.25
BHARATRAS,9583.1,9364.8,9442.4,9512.75,9590.35,9660.7,9738.3,9808.65
BHARATWIRE,308.1,291.47,297.73,302.92,309.18,314.37,320.63,325.82
BHARTIARTL,1326.0,1293.07,1307.53,1316.77,1331.23,1340.47,1354.93,1364.17
BHARTIHEXA,894.65,830.1,852.75,873.7,896.35,917.3,939.95,960.9
BHEL,278.85,267.72,270.98,274.92,278.18,282.12,285.38,289.32
BIGBLOC,249.85,217.7,229.35,239.6,251.25,261.5,273.15,283.4
BIKAJI,527.45,511.0,518.35,522.9,530.25,534.8,542.15,546.7
BIL,411.95,387.97,397.98,404.97,414.98,421.97,431.98,438.97
BINANIIND,16.2,15.78,15.87,16.03,16.12,16.28,16.37,16.53
BIOCON,306.4,273.07,282.53,294.47,303.93,315.87,325.33,337.27
BIOFILCHEM,69.9,65.97,67.73,68.82,70.58,71.67,73.43,74.52
BIRDYS,117.35,109.22,113.28,115.32,119.38,121.42,125.48,127.52
BIRET,254.46,250.97,252.41,253.43,254.87,255.89,257.33,258.35
BIRLACABLE,274.4,265.97,268.53,271.47,274.03,276.97,279.53,282.47
BIRLACORPN,1447.95,1389.5,1414.75,1431.35,1456.6,1473.2,1498.45,1515.05
BIRLAMONEY,130.25,116.55,121.55,125.9,130.9,135.25,140.25,144.6
BKMINDST,1.95,1.7,1.75,1.85,1.9,2.0,2.05,2.15
BLAL,259.15,247.25,252.65,255.9,261.3,264.55,269.95,273.2
BLBLIMITED,22.1,19.78,20.57,21.33,22.12,22.88,23.67,24.43
